Requirement Text,Requirement Type,Source Dataset
System shall allow users to update their billing and contact information via the  My Account  section of the website.,Functional,Kaggle Extended
Pre-paid cards shall be distributed via email  or via a printed paper card.,Functional,Kaggle Extended
Only registered customers can purchase streaming movies.,Functional,Kaggle Extended
Movies can only be streamed if the customer has purchased a movie  and is within the 2-day time period to stream the movie.,Functional,Kaggle Extended
Website must be able to support free trial periods with various parameters set by the Izogn Manager.,Functional,Kaggle Extended
All streaming movie sales will be logged in the database  and accessible by the administrator.,Functional,Kaggle Extended
All registered customer information shall be stored and maintained in the database  even after the customer cancels their account.,Functional,Kaggle Extended
Daily usage statistics should be logged  and accessible by the administrator.,Functional,Kaggle Extended
The owner shall have free access to all of the streaming movies.,Functional,Kaggle Extended
Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.,Performance,Kaggle Extended
No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed.,Performance,Kaggle Extended
For leads that process longer than 25 seconds the system will record the event and duration,Performance,Kaggle Extended
The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.,Performance,Kaggle Extended
The lead washing process will operate within the established physical web service structure.,Operational,Kaggle Extended
